ROIid,Volume,Peak,Mean,SD,Peak_Magnitude_XYZ_1,Peak_Magnitude_XYZ_2,Peak_Magnitude_XYZ_3,hemisphere,lobe,id_Yeo7,P_Yeo7,name_Yeo7,id_WFU,P_WFU,name_WFU,id_AAL2,P_AAL2,name_AAL2,id_HO_CS,P_HO_CS,name_HO_CS,id_Yeo17,P_Yeo17,name_Yeo17,id_Shirer2012,P_Shirer2012,name_Shirer2012,id_Cerb,P_Cerb,name_Cerb,id_BNA,P_BNA,name_BNA
22,611,4.73185080688563,3.32371825462344,0.658359417340407,30,-54,46,Right,Parietal,3,0.53518821603928,Dorsal Attention,35,0.291325695581015,BA.40,66,0.299509001636661,Parietal_Inf_R,33,0.695581014729951,Superior Parietal Lobule,5,0.432078559738134,17Network_05,14,0.389525368248772,Visuospatial,0,0,null,134,0.446808510638298,A7ip
27,611,4.73185080688563,3.32371825462344,0.658359417340407,-30,-54,46,Left,Parietal,3,0.425531914893617,Dorsal Attention,77,0.346972176759411,BA.40,65,0.62684124386252,Parietal_Inf_L,33,0.851063829787234,Superior Parietal Lobule,12,0.328968903436989,17Network_12,14,0.549918166939444,Visuospatial,0,0,null,129,0.310965630114566,A5l
23,1404,4.68930970248766,3.17086816574511,0.603798728516346,30,-58,48,Right,Parietal,3,0.655270655270655,Dorsal Attention,7,0.684472934472934,BA.07,64,0.352564102564103,Parietal_Sup_R,37,0.772079772079772,Lateral Occipital Cortex superior,5,0.608262108262108,17Network_05,14,0.228632478632479,Visuospatial,0,0,null,128,0.25997150997151,A7c
28,1404,4.68930970248766,3.17086816574511,0.603798728516346,-30,-58,48,Left,Parietal,3,0.685185185185185,Dorsal Attention,49,0.66025641025641,BA.07,63,0.518518518518518,Parietal_Sup_L,37,0.808404558404558,Lateral Occipital Cortex superior,5,0.551994301994302,17Network_05,14,0.351851851851852,Visuospatial,0,0,null,127,0.225783475783476,A7c
24,831,4.50276884205232,3.2010374592652,0.608033905565135,36,-46,42,Right,Parietal,6,0.478941034897714,Frontoparietal,35,0.741275571600481,BA.40,66,0.534296028880866,Parietal_Inf_R,35,0.542719614921781,Supramarginal Gyrus posterior,12,0.574007220216607,17Network_12,11,0.391095066185319,RECN,0,0,null,140,0.583634175691937,A40rd
29,831,4.50276884205232,3.2010374592652,0.608033905565135,-36,-46,42,Left,Parietal,3,0.48014440433213,Dorsal Attention,77,0.773766546329723,BA.40,65,0.815884476534296,Parietal_Inf_L,35,0.36101083032491,Supramarginal Gyrus posterior,12,0.600481347773766,17Network_12,14,0.611311672683514,Visuospatial,0,0,null,139,0.517448856799037,A40rd
36,1097,4.43312190122379,2.98875049443422,0.550649927074846,0,12,50,Medial,Frontal,4,0.676390154968095,Ventral Attention,27,0.277119416590702,BA.32,15,0.398359161349134,Supp_Motor_Area_L,43,0.587055606198724,Paracingulate Gyrus,8,0.437556973564266,17Network_08,1,0.877848678213309,anterior_Salience,0,0,null,1,0.351868732907931,A8m
32,414,4.27745157672325,2.86910795533333,0.489568682360613,30,22,4,Right,Insula,4,0.5,Ventral Attention,12,0.333333333333333,BA.13,34,0.521739130434783,Insula_R,17,0.727053140096618,Insular Cortex,8,0.570048309178744,17Network_08,1,0.241545893719807,anterior_Salience,0,0,null,168,0.398550724637681,dIa
33,414,4.27745157672325,2.86910795533333,0.489568682360613,-30,22,4,Left,Insula,4,0.572463768115942,Ventral Attention,54,0.347826086956522,BA.13,33,0.879227053140097,Insula_L,17,0.666666666666667,Insular Cortex,8,0.705314009661836,17Network_08,1,0.20048309178744,anterior_Salience,0,0,null,167,0.456521739130435,dIa
25,973,4.18992231324955,2.82472406995802,0.435950601960194,34,-78,-6,Right,Occipital,1,0.47070914696814,Visual,15,0.114080164439877,BA.19,56,0.223021582733813,Occipital_Mid_R,38,0.362795477903392,Lateral Occipital Cortex inferior,1,0.453237410071942,17Network_01,5,0.306269270298047,high_Visual,0,0,null,200,0.204522096608428,mOccG
