ROIid,Volume,Peak,Mean,SD,Peak_Magnitude_XYZ_1,Peak_Magnitude_XYZ_2,Peak_Magnitude_XYZ_3,hemisphere,lobe,id_Yeo7,P_Yeo7,name_Yeo7,id_WFU,P_WFU,name_WFU,id_AAL2,P_AAL2,name_AAL2,id_HO_CS,P_HO_CS,name_HO_CS,id_Yeo17,P_Yeo17,name_Yeo17,id_Shirer2012,P_Shirer2012,name_Shirer2012,id_Cerb,P_Cerb,name_Cerb,id_BNA,P_BNA,name_BNA
3,862,4.73185080688563,2.9012289867796,0.86944448877529,30,-54,46,Right,Parietal,3,0.480278422273782,Dorsal Attention,7,0.27262180974478,BA.07,66,0.255220417633411,Parietal_Inf_R,33,0.646171693735499,Superior Parietal Lobule,5,0.402552204176334,17Network_05,14,0.299303944315545,Visuospatial,0,0,null,134,0.368909512761021,A7ip
8,862,4.73185080688563,2.9012289867796,0.86944448877529,-30,-54,46,Left,Parietal,3,0.353828306264501,Dorsal Attention,77,0.312064965197216,BA.40,65,0.52784222737819,Parietal_Inf_L,33,0.790023201856148,Superior Parietal Lobule,12,0.254060324825986,17Network_12,14,0.48491879350348,Visuospatial,0,0,null,129,0.277262180974478,A5l
4,2099,4.68930970248766,2.74095215927176,0.796108983899994,30,-58,48,Right,Parietal,3,0.581229156741305,Dorsal Attention,7,0.662220104811815,BA.07,64,0.315864697474988,Parietal_Sup_R,37,0.704144830871844,Lateral Occipital Cortex superior,5,0.521676989042401,17Network_05,14,0.164840400190567,Visuospatial,0,0,null,128,0.200095283468318,A7c
9,2099,4.68930970248766,2.74095215927176,0.796108983899994,-30,-58,48,Left,Parietal,3,0.588851834206765,Dorsal Attention,49,0.63696998570748,BA.07,63,0.433539780848023,Parietal_Sup_L,37,0.734159123392091,Lateral Occipital Cortex superior,5,0.456407813244402,17Network_05,14,0.240590757503573,Visuospatial,0,0,null,127,0.183420676512625,A7c
5,1312,4.50276884205232,2.70864777833043,0.819820421315407,36,-46,42,Right,Parietal,6,0.413871951219512,Frontoparietal,35,0.695884146341463,BA.40,66,0.448932926829268,Parietal_Inf_R,35,0.455030487804878,Supramarginal Gyrus posterior,12,0.421493902439024,17Network_12,11,0.357469512195122,RECN,0,0,null,140,0.460365853658537,A40rd
10,1312,4.50276884205232,2.70864777833043,0.819820421315407,-36,-46,42,Left,Parietal,3,0.452743902439024,Dorsal Attention,77,0.726371951219512,BA.40,65,0.716463414634146,Parietal_Inf_L,35,0.31859756097561,Supramarginal Gyrus posterior,12,0.424542682926829,17Network_12,14,0.516768292682927,Visuospatial,0,0,null,139,0.400914634146341,A40rd
13,1951,4.43312190122379,2.4782610650261,0.722347588422835,0,12,50,Medial,Frontal,4,0.578677601230138,Ventral Attention,27,0.22655048692978,BA.32,15,0.339313172731932,Supp_Motor_Area_L,43,0.451050743208611,Paracingulate Gyrus,7,0.394156842644798,17Network_07,1,0.691952844695028,anterior_Salience,0,0,null,1,0.252178370066633,A8m
14,1003,4.27745157672325,2.25869339931841,0.621564846191899,30,22,4,Right,Insula,4,0.529411764705882,Ventral Attention,12,0.277168494516451,BA.13,34,0.419740777666999,Insula_R,17,0.435692921236291,Insular Cortex,8,0.542372881355932,17Network_08,1,0.208374875373878,anterior_Salience,0,0,null,38,0.242273180458624,A44op
15,1003,4.27745157672325,2.25869339931841,0.621564846191899,-30,22,4,Left,Insula,4,0.46061814556331,Ventral Attention,54,0.273180458624128,BA.13,33,0.563310069790628,Insula_L,17,0.409770687936191,Insular Cortex,8,0.560319042871386,17Network_08,1,0.155533399800598,anterior_Salience,0,0,null,37,0.244267198404786,A44op
6,1904,4.18992231324955,2.35226195649734,0.594932591039222,34,-78,-6,Right,Occipital,1,0.476365546218487,Visual,15,0.147058823529412,BA.19,56,0.214285714285714,Occipital_Mid_R,55,0.28781512605042,Occipital Fusiform Gyrus,1,0.435399159663866,17Network_01,5,0.271533613445378,high_Visual,0,0,null,200,0.16859243697479,mOccG
11,1904,4.18992231324955,2.35226195649734,0.594932591039221,-34,-78,-6,Left,Occipital,1,0.464285714285714,Visual,57,0.159663865546218,BA.19,55,0.417542016806723,Occipital_Mid_L,38,0.292016806722689,Lateral Occipital Cortex inferior,1,0.409138655462185,17Network_01,5,0.159138655462185,high_Visual,0,0,null,199,0.130252100840336,mOccG
16,1271,4.04272256263357,2.229810930478,0.573411183710094,46,4,32,Right,Frontal,3,0.412273800157356,Dorsal Attention,6,0.257277734067663,BA.06,2,0.446105428796223,Precentral_R,22,0.676632572777341,Precentral Gyrus,12,0.412273800157356,17Network_12,14,0.180173092053501,Visuospatial,0,0,null,64,0.34618410700236,A6cvl
17,1271,4.04272256263357,2.229810930478,0.573411183710094,-46,4,32,Left,Frontal,3,0.365066876475216,Dorsal Attention,48,0.280094413847364,BA.06,1,0.633359559402046,Precentral_L,22,0.626278520849725,Precentral Gyrus,12,0.520062942564909,17Network_12,14,0.466561762391817,Visuospatial,0,0,null,63,0.429583005507474,A6cvl
7,977,3.82135823178396,2.28328254267263,0.560751394838545,40,-64,-10,Right,Occipital,1,0.58546571136131,Visual,32,0.216990788126919,BA.37,60,0.397134083930399,Fusiform_R,54,0.400204708290686,Temporal Occipital Fusiform Cortex,1,0.418628454452405,17Network_01,14,0.0491299897645855,Visuospatial,7,0.00102354145342886,Right_VI,108,0.292732855680655,A37lv
12,977,3.82135823178396,2.28328254267263,0.560751394838545,-40,-64,-10,Left,Occipital,3,0.444216990788127,Dorsal Attention,74,0.22517911975435,BA.37,59,0.402251791197544,Fusiform_L,54,0.389969293756397,Temporal Occipital Fusiform Cortex,5,0.453428863868987,17Network_05,14,0.0440122824974411,Visuospatial,0,0,null,107,0.343909928352098,A37lv
18,1162,3.42794713359035,2.09373633334803,0.460051022807913,26,-4,56,Right,Frontal,3,0.609294320137694,Dorsal Attention,6,0.740103270223752,BA.06,4,0.535283993115318,Frontal_Sup_2_R,18,0.512908777969019,Superior Frontal Gyrus,6,0.536144578313253,17Network_06,14,0.0826161790017212,Visuospatial,0,0,null,56,0.355421686746988,A6cdl
19,1162,3.42794713359035,2.09373633334803,0.460051022807913,-26,-4,56,Left,Frontal,3,0.646299483648881,Dorsal Attention,48,0.731497418244406,BA.06,3,0.420826161790017,Frontal_Sup_2_L,18,0.449225473321859,Superior Frontal Gyrus,6,0.545611015490534,17Network_06,14,0.257314974182444,Visuospatial,0,0,null,25,0.287435456110155,A6vl
24,603,2.90051273304562,1.96990648604038,0.329049938025101,38,48,18,Right,Frontal,6,0.681592039800995,Frontoparietal,10,0.545605306799337,BA.10,6,0.693200663349917,Frontal_Mid_2_R,16,1,Frontal Pole,8,0.719734660033168,17Network_08,1,0.285240464344942,anterior_Salience,0,0,null,22,0.368159203980099,A9/46v
26,603,2.90051273304562,1.96990648604038,0.329049938025101,-38,48,18,Left,Frontal,6,0.688225538971808,Frontoparietal,52,0.537313432835821,BA.10,5,0.857379767827529,Frontal_Mid_2_L,16,1,Frontal Pole,8,0.817578772802653,17Network_08,1,0.653399668325041,anterior_Salience,0,0,null,21,0.396351575456053,A9/46v
25,730,2.85439516411861,1.98062800624925,0.327865923296895,44,32,28,Right,Frontal,6,0.732876712328767,Frontoparietal,41,0.16027397260274,BA.46,6,0.623287671232877,Frontal_Mid_2_R,19,0.621917808219178,Middle Frontal Gyrus,12,0.382191780821918,17Network_12,11,0.505479452054794,RECN,0,0,null,24,0.315068493150685,A8vl
27,730,2.85439516411861,1.98062800624925,0.327865923296895,-44,32,28,Left,Frontal,6,0.802739726027397,Frontoparietal,83,0.235616438356164,BA.46,5,0.554794520547945,Frontal_Mid_2_L,19,0.736986301369863,Middle Frontal Gyrus,12,0.601369863013699,17Network_12,8,0.116438356164384,post_Salience,0,0,null,21,0.517808219178082,A9/46v
20,149,2.49486636146321,1.94380783986835,0.27227367225319,8,26,30,Right,Limbic,4,0.436241610738255,Ventral Attention,27,0.738255033557047,BA.32,36,0.463087248322148,Cingulate_Ant_R,44,0.523489932885906,Cingulate Gyrus anterior,8,0.812080536912752,17Network_08,1,0.932885906040268,anterior_Salience,0,0,null,180,0.61744966442953,A32p
21,138,2.49486636146321,1.9545324090302,0.274559855996935,-8,26,30,Left,Limbic,6,0.594202898550725,Frontoparietal,69,0.681159420289855,BA.32,35,0.528985507246377,Cingulate_Ant_L,43,0.58695652173913,Paracingulate Gyrus,8,0.956521739130435,17Network_08,1,0.985507246376812,anterior_Salience,0,0,null,179,0.550724637681159,A32p
22,731,2.46870169990871,1.81536076124495,0.240119157630797,10,-12,6,Right,subcorticalGM,6,0.0683994528043776,Frontoparietal,0,0,null,82,0.556771545827633,Thalamus_R,9,0.630642954856361,R Thalamus,8,0.0957592339261286,17Network_08,3,0.45827633378933,Basal_Ganglia,0,0,null,246,0.266757865937073,lPFtha
23,731,2.46870169990871,1.81536076124495,0.240119157630797,-10,-12,6,Left,subcorticalGM,6,0.0478796169630643,Frontoparietal,0,0,null,81,0.534883720930233,Thalamus_L,1,0.549931600547196,L Thalamus,8,0.0889192886456908,17Network_08,3,0.529411764705882,Basal_Ganglia,0,0,null,245,0.251709986320109,lPFtha
1,389,2.45533701666864,1.84171180494182,0.245458562863806,0,-58,-22,Medial,Cerebelum,2,0.593830334190231,Somatomotor,0,0,null,115,0.22879177377892,Vermis_4_5,0,0,null,4,0.359897172236504,17Network_04,12,0.48586118251928,Sensorimotor,4,0.22879177377892,Right_V,0,0,null
2,216,2.36197246896336,1.84637857123441,0.23160091380976,0,-48,-18,Medial,Cerebelum,2,0.87037037037037,Somatomotor,0,0,null,115,0.490740740740741,Vermis_4_5,5,0.25,Brain-Stem,3,0.856481481481482,17Network_03,12,0.856481481481482,Sensorimotor,1,0.601851851851852,Left_I_IV,0,0,null
